date,AAPL,MSFT,NVDA,AMZN,META,GOOGL,TSLA,AVGO,WMT,JPM,XOM,V,JNJ,MA,COST
2025-01-08,241.3813934326172,421.4510192871094,140.07168579101563,222.1300048828125,608.80023193359375,193.19337463378906,394.94000244140625,227.25643920898438,90.92961883544922,238.24485778808594,102.46151733398438,309.75665283203125,138.0443572998047,512.67987060546875,921.29736328125
2025-01-10,235.56320190429688,415.8821105957031,135.8728485107422,218.94000244140625,613.924072265625,191.2908172607422,394.739990234375,222.30120849609375,92.11824035644531,235.05035400390625,102.08781433105469,304.9111022949219,137.84059143066406,501.7727966308594,930.80462646484375
2025-01-13,233.12649536132813,414.1350402832031,133.19357299804688,218.4600067138672,606.4178466796875,190.2648162841797,403.30999755859375,223.2724151611328,90.66217803955078,239.3031768798828,104.72289276123047,304.1282958984375,140.17901611328125,502.0114440917969,918.644775390625
2025-01-14,232.0125732421875,412.6261291503906,131.7239532470703,217.75999450683594,592.38201904296875,188.92010498046875,396.3599853515625,222.68771362304688,89.92919921875,242.49765014648438,105.13492584228516,306.2785949707031,140.45069885253906,506.09783935546875,911.2237548828125
2025-01-15,236.57762145996094,423.1882019042969,136.2027587890625,223.35000610351563,615.18017578125,194.78712463378906,428.2200012207031,225.95816040039063,90.4739761352539,247.27963256835938,106.85012817382813,313.4031982421875,140.66416931152344,519.35125732421875,917.45263671875
2025-01-16,227.01986694335938,421.47088623046875,133.53347778320313,220.66000366210938,609.37835693359375,192.1574249267578,413.82000732421875,227.3555450439453,90.43436431884766,249.16104125976563,106.66806030273438,314.3643493652344,143.3810272216797,520.13677978515625,913.727294921875
2025-01-17,228.7305145263672,425.8883056640625,137.67234802246094,225.94000244140625,610.8438720703125,195.23538208007813,426.5,235.31361389160156,91.06829071044922,253.95278930664063,107.62627410888672,316.7127685546875,142.66299438476563,521.6878662109375,937.01373291015625
2025-01-21,221.43038940429688,425.3622131347656,140.79148864746094,230.7100067138672,614.522216796875,197.27737426757813,424.07000732421875,238.1579132080078,92.1974868774414,257.7450256347656,106.81179809570313,320.6863098144531,143.7497100830078,525.02850341796875,941.52398681640625
2025-01-22,222.61392211914063,442.9325866699219,147.02980041503906,235.00999450683594,621.54010009765625,197.5961151123047,415.1099853515625,238.75253295898438,92.3460693359375,257.558837890625,104.95286560058594,320.616943359375,140.95526123046875,524.153564453125,938.51385498046875
2025-01-23,222.44485473632813,443.4388122558594,147.17974853515625,235.4199981689453,634.4493408203125,197.2076416015625,412.3800048828125,238.12818908691406,92.920562744140625,260.6063537597656,105.54696655273438,325.2246398925781,142.28457641601563,531.153076171875,935.990478515625
