datetime,symbol,price_type,price,volume
2026-01-01 22:14:03.612000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:14:03.819000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:14:03.924000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:14:04.027000+00:00,EURUSD,BID,1.17482,0.9
2026-01-01 22:14:04.184000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:14:04.288000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:14:04.392000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:14:04.497000+00:00,EURUSD,BID,1.17484,0.9
2026-01-01 22:14:04.549000+00:00,EURUSD,BID,1.17482,1.8
2026-01-01 22:14:04.603000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:14:04.706000+00:00,EURUSD,BID,1.17481,1.8
2026-01-01 22:14:04.862000+00:00,EURUSD,BID,1.17484,0.9
2026-01-01 22:14:04.965000+00:00,EURUSD,BID,1.17484,0.9
2026-01-01 22:14:05.018000+00:00,EURUSD,BID,1.17482,1.8
2026-01-01 22:14:05.071000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:14:05.124000+00:00,EURUSD,BID,1.17482,1.8
2026-01-01 22:14:05.177000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:14:05.434000+00:00,EURUSD,BID,1.17484,0.9
2026-01-01 22:14:05.538000+00:00,EURUSD,BID,1.17482,0.9
2026-01-01 22:14:05.642000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:14:05.952000+00:00,EURUSD,BID,1.17482,0.9
2026-01-01 22:14:06.055000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:14:06.159000+00:00,EURUSD,BID,1.17482,1.8
2026-01-01 22:14:06.212000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:14:06.521000+00:00,EURUSD,BID,1.17482,1.8
2026-01-01 22:14:06.574000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:14:06.729000+00:00,EURUSD,BID,1.17484,0.9
2026-01-01 22:14:06.934000+00:00,EURUSD,BID,1.17482,0.9
2026-01-01 22:14:07.039000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:14:07.246000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:14:07.452000+00:00,EURUSD,BID,1.17482,0.9
2026-01-01 22:14:07.557000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:14:07.660000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:14:07.764000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:14:07.919000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:14:08.024000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:14:08.128000+00:00,EURUSD,BID,1.17484,0.9
2026-01-01 22:14:08.232000+00:00,EURUSD,BID,1.17482,0.9
2026-01-01 22:14:08.336000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:14:08.439000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:14:08.648000+00:00,EURUSD,BID,1.17482,0.9
2026-01-01 22:14:08.752000+00:00,EURUSD,BID,1.17484,0.9
2026-01-01 22:14:08.856000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:14:08.960000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:14:09.217000+00:00,EURUSD,BID,1.17482,0.9
2026-01-01 22:14:09.321000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:14:09.374000+00:00,EURUSD,BID,1.17482,1.8
2026-01-01 22:14:09.477000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:14:09.582000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:14:09.739000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:14:09.843000+00:00,EURUSD,BID,1.17484,0.9
2026-01-01 22:14:10.154000+00:00,EURUSD,BID,1.17482,1.8
2026-01-01 22:14:10.207000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:14:10.311000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:14:10.569000+00:00,EURUSD,BID,1.17482,0.9
2026-01-01 22:14:10.674000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:14:10.778000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:14:10.883000+00:00,EURUSD,BID,1.17484,0.9
