datetime,symbol,price_type,price
2026-01-01 19:18:26.915,EURUSD,BID,1.17408
2026-01-01 19:18:36.931,EURUSD,BID,1.17413
2026-01-01 19:19:27.005,EURUSD,BID,1.17408
2026-01-01 19:19:37.018,EURUSD,BID,1.17413
2026-01-01 19:19:47.038,EURUSD,BID,1.17408
2026-01-01 19:19:57.059,EURUSD,BID,1.17413
2026-01-01 19:21:17.181,EURUSD,BID,1.17408
2026-01-01 19:21:26.193,EURUSD,BID,1.17413
2026-01-01 19:21:46.219,EURUSD,BID,1.17417
2026-01-01 19:21:56.231,EURUSD,BID,1.17413
2026-01-01 19:22:16.258,EURUSD,BID,1.17408
2026-01-01 19:22:26.279,EURUSD,BID,1.17413
2026-01-01 19:22:56.312,EURUSD,BID,1.17408
2026-01-01 19:23:06.332,EURUSD,BID,1.17413
2026-01-01 19:23:36.376,EURUSD,BID,1.17417
2026-01-01 19:23:46.387,EURUSD,BID,1.17413
2026-01-01 19:24:16.448,EURUSD,BID,1.17417
2026-01-01 19:24:26.466,EURUSD,BID,1.17413
2026-01-01 19:26:06.635,EURUSD,BID,1.17417
2026-01-01 19:26:16.645,EURUSD,BID,1.17413
2026-01-01 19:27:26.730,EURUSD,BID,1.17408
2026-01-01 19:27:36.747,EURUSD,BID,1.17413
2026-01-01 19:28:16.813,EURUSD,BID,1.17417
2026-01-01 19:28:26.822,EURUSD,BID,1.17413
2026-01-01 19:29:06.884,EURUSD,BID,1.17417
2026-01-01 19:29:17.317,EURUSD,BID,1.17413
2026-01-01 19:31:07.065,EURUSD,BID,1.17417
2026-01-01 19:31:17.078,EURUSD,BID,1.17413
2026-01-01 19:32:07.141,EURUSD,BID,1.17417
2026-01-01 19:32:17.164,EURUSD,BID,1.17413
2026-01-01 19:32:36.197,EURUSD,BID,1.17417
2026-01-01 19:32:46.212,EURUSD,BID,1.17413
2026-01-01 19:33:16.269,EURUSD,BID,1.17408
2026-01-01 19:33:18.296,EURUSD,BID,1.17426
2026-01-01 19:33:21.300,EURUSD,BID,1.17401
2026-01-01 19:33:22.306,EURUSD,BID,1.174
2026-01-01 19:33:26.315,EURUSD,BID,1.17405
2026-01-01 19:33:48.359,EURUSD,BID,1.17406
2026-01-01 19:34:08.396,EURUSD,BID,1.17322
2026-01-01 19:34:11.399,EURUSD,BID,1.17323
2026-01-01 19:34:21.422,EURUSD,BID,1.17325
2026-01-01 19:34:36.451,EURUSD,BID,1.17402
2026-01-01 19:34:46.460,EURUSD,BID,1.17406
2026-01-01 19:34:56.475,EURUSD,BID,1.17411
2026-01-01 19:35:06.488,EURUSD,BID,1.17406
2026-01-01 19:35:56.561,EURUSD,BID,1.17402
2026-01-01 19:36:06.575,EURUSD,BID,1.17406
2026-01-01 19:37:06.669,EURUSD,BID,1.17411
2026-01-01 19:37:16.687,EURUSD,BID,1.17406
2026-01-01 19:39:16.866,EURUSD,BID,1.17411
2026-01-01 19:39:26.878,EURUSD,BID,1.17406
2026-01-01 19:39:46.915,EURUSD,BID,1.17411
2026-01-01 19:39:56.930,EURUSD,BID,1.17406
2026-01-01 19:40:34.989,EURUSD,BID,1.17411
2026-01-01 19:40:44.997,EURUSD,BID,1.17407
2026-01-01 19:40:55.011,EURUSD,BID,1.17411
2026-01-01 19:41:05.026,EURUSD,BID,1.17407
2026-01-01 19:42:14.128,EURUSD,BID,1.17407
2026-01-01 19:42:24.144,EURUSD,BID,1.17407
2026-01-01 19:43:04.193,EURUSD,BID,1.17407
2026-01-01 19:43:05.196,EURUSD,BID,1.17407
2026-01-01 19:43:14.206,EURUSD,BID,1.17407
2026-01-01 19:43:24.222,EURUSD,BID,1.17407
2026-01-01 19:44:14.290,EURUSD,BID,1.17407
2026-01-01 19:44:24.302,EURUSD,BID,1.17407
2026-01-01 19:45:59.430,EURUSD,BID,1.17341
2026-01-01 19:47:14.538,EURUSD,BID,1.17409
2026-01-01 19:47:20.542,EURUSD,BID,1.17389
2026-01-01 19:47:24.552,EURUSD,BID,1.17385
2026-01-01 19:47:31.562,EURUSD,BID,1.17375
2026-01-01 19:47:38.569,EURUSD,BID,1.17365
2026-01-01 19:47:54.600,EURUSD,BID,1.17361
2026-01-01 19:48:04.647,EURUSD,BID,1.17365
2026-01-01 19:48:24.675,EURUSD,BID,1.17361
2026-01-01 19:48:34.688,EURUSD,BID,1.17369
2026-01-01 19:48:44.699,EURUSD,BID,1.17361
2026-01-01 19:48:48.703,EURUSD,BID,1.17359
2026-01-01 19:48:49.708,EURUSD,BID,1.17361
2026-01-01 19:48:54.713,EURUSD,BID,1.17365
2026-01-01 19:48:55.715,EURUSD,BID,1.17372
2026-01-01 19:48:56.713,EURUSD,BID,1.17364
2026-01-01 19:48:57.711,EURUSD,BID,1.17365
2026-01-01 19:50:54.862,EURUSD,BID,1.17369
2026-01-01 19:51:04.872,EURUSD,BID,1.17365
2026-01-01 19:51:24.894,EURUSD,BID,1.17369
2026-01-01 19:51:34.912,EURUSD,BID,1.17365
2026-01-01 19:51:44.938,EURUSD,BID,1.17369
2026-01-01 19:51:54.950,EURUSD,BID,1.17365
2026-01-01 19:54:24.187,EURUSD,BID,1.17361
2026-01-01 19:54:34.209,EURUSD,BID,1.17365
2026-01-01 19:55:34.298,EURUSD,BID,1.17361
2026-01-01 19:55:44.311,EURUSD,BID,1.17365
2026-01-01 19:56:34.388,EURUSD,BID,1.17369
2026-01-01 19:56:54.406,EURUSD,BID,1.17365
2026-01-01 19:57:04.420,EURUSD,BID,1.17369
2026-01-01 19:57:14.430,EURUSD,BID,1.17365
2026-01-01 19:57:34.475,EURUSD,BID,1.17369
2026-01-01 19:57:54.504,EURUSD,BID,1.17365
2026-01-01 19:59:24.635,EURUSD,BID,1.17361
2026-01-01 19:59:34.652,EURUSD,BID,1.17365
2026-01-01 20:00:44.741,EURUSD,BID,1.17361
2026-01-01 20:00:54.760,EURUSD,BID,1.17365
2026-01-01 20:01:04.786,EURUSD,BID,1.17369
2026-01-01 20:01:14.797,EURUSD,BID,1.17365
2026-01-01 20:01:54.854,EURUSD,BID,1.17369
2026-01-01 20:02:04.868,EURUSD,BID,1.17365
2026-01-01 20:02:14.882,EURUSD,BID,1.17369
2026-01-01 20:02:24.899,EURUSD,BID,1.17365
2026-01-01 20:03:35.001,EURUSD,BID,1.17369
2026-01-01 20:03:55.033,EURUSD,BID,1.17365
2026-01-01 20:04:05.047,EURUSD,BID,1.17361
2026-01-01 20:04:15.063,EURUSD,BID,1.17369
2026-01-01 20:04:25.078,EURUSD,BID,1.17365
2026-01-01 20:05:24.161,EURUSD,BID,1.17361
2026-01-01 20:05:34.178,EURUSD,BID,1.17369
2026-01-01 20:05:44.190,EURUSD,BID,1.17365
2026-01-01 20:06:24.246,EURUSD,BID,1.17369
2026-01-01 20:06:44.277,EURUSD,BID,1.17365
2026-01-01 20:07:14.365,EURUSD,BID,1.17361
2026-01-01 20:07:24.385,EURUSD,BID,1.17365
2026-01-01 20:08:04.449,EURUSD,BID,1.17361
2026-01-01 20:08:24.487,EURUSD,BID,1.17365
2026-01-01 20:08:34.501,EURUSD,BID,1.17366
2026-01-01 20:10:44.703,EURUSD,BID,1.17369
2026-01-01 20:11:04.737,EURUSD,BID,1.17366
2026-01-01 20:11:34.774,EURUSD,BID,1.17369
2026-01-01 20:11:54.807,EURUSD,BID,1.17366
2026-01-01 20:12:04.817,EURUSD,BID,1.17366
2026-01-01 20:12:44.877,EURUSD,BID,1.17366
2026-01-01 20:12:54.961,EURUSD,BID,1.17366
2026-01-01 20:14:35.094,EURUSD,BID,1.17369
2026-01-01 20:14:54.119,EURUSD,BID,1.17366
2026-01-01 20:15:24.161,EURUSD,BID,1.17366
2026-01-01 20:15:34.173,EURUSD,BID,1.17369
2026-01-01 20:15:52.195,EURUSD,BID,1.17371
2026-01-01 20:16:04.212,EURUSD,BID,1.17367
2026-01-01 20:16:34.257,EURUSD,BID,1.17363
2026-01-01 20:16:44.272,EURUSD,BID,1.17367
2026-01-01 20:19:04.461,EURUSD,BID,1.17371
2026-01-01 20:19:14.475,EURUSD,BID,1.17367
2026-01-01 20:19:44.517,EURUSD,BID,1.17371
2026-01-01 20:19:54.533,EURUSD,BID,1.17367
2026-01-01 20:21:14.644,EURUSD,BID,1.17363
2026-01-01 20:21:24.662,EURUSD,BID,1.17367
2026-01-01 20:23:04.819,EURUSD,BID,1.17363
2026-01-01 20:23:14.832,EURUSD,BID,1.17367
2026-01-01 20:24:54.987,EURUSD,BID,1.17363
2026-01-01 20:25:15.019,EURUSD,BID,1.17367
2026-01-01 20:25:35.059,EURUSD,BID,1.17363
2026-01-01 20:25:45.068,EURUSD,BID,1.17371
2026-01-01 20:25:55.081,EURUSD,BID,1.17367
2026-01-01 20:27:24.224,EURUSD,BID,1.17363
2026-01-01 20:27:44.253,EURUSD,BID,1.17367
2026-01-01 20:28:24.317,EURUSD,BID,1.17371
2026-01-01 20:28:34.328,EURUSD,BID,1.17367
2026-01-01 20:28:44.348,EURUSD,BID,1.17371
2026-01-01 20:28:54.359,EURUSD,BID,1.17367
2026-01-01 20:29:44.452,EURUSD,BID,1.17363
2026-01-01 20:29:54.467,EURUSD,BID,1.17367
2026-01-01 20:30:24.503,EURUSD,BID,1.17362
2026-01-01 20:30:34.516,EURUSD,BID,1.17367
2026-01-01 20:32:34.709,EURUSD,BID,1.17362
2026-01-01 20:32:44.730,EURUSD,BID,1.17371
2026-01-01 20:32:54.743,EURUSD,BID,1.17367
2026-01-01 20:33:14.768,EURUSD,BID,1.17371
2026-01-01 20:33:24.789,EURUSD,BID,1.17367
2026-01-01 20:33:53.842,EURUSD,BID,1.17365
2026-01-01 20:34:34.910,EURUSD,BID,1.17369
2026-01-01 20:34:44.920,EURUSD,BID,1.17365
2026-01-01 20:38:04.244,EURUSD,BID,1.1736
2026-01-01 20:38:14.262,EURUSD,BID,1.17369
2026-01-01 20:38:24.274,EURUSD,BID,1.17365
2026-01-01 20:38:34.284,EURUSD,BID,1.1736
2026-01-01 20:38:44.307,EURUSD,BID,1.17365
2026-01-01 20:38:54.328,EURUSD,BID,1.1736
2026-01-01 20:39:04.341,EURUSD,BID,1.17369
2026-01-01 20:39:14.356,EURUSD,BID,1.1736
2026-01-01 20:39:24.368,EURUSD,BID,1.17365
2026-01-01 20:39:44.399,EURUSD,BID,1.1736
2026-01-01 20:39:54.419,EURUSD,BID,1.17365
2026-01-01 20:41:44.574,EURUSD,BID,1.17369
2026-01-01 20:41:54.587,EURUSD,BID,1.17365
2026-01-01 20:42:04.603,EURUSD,BID,1.17369
2026-01-01 20:42:14.612,EURUSD,BID,1.17365
2026-01-01 20:42:34.642,EURUSD,BID,1.1736
2026-01-01 20:42:54.672,EURUSD,BID,1.17365
2026-01-01 20:44:04.775,EURUSD,BID,1.17369
2026-01-01 20:44:14.788,EURUSD,BID,1.17365
2026-01-01 20:44:34.818,EURUSD,BID,1.17369
2026-01-01 20:44:44.829,EURUSD,BID,1.17365
2026-01-01 20:45:34.915,EURUSD,BID,1.17369
2026-01-01 20:45:44.926,EURUSD,BID,1.17361
2026-01-01 20:45:54.955,EURUSD,BID,1.17365
2026-01-01 20:46:14.979,EURUSD,BID,1.17369
2026-01-01 20:46:25.006,EURUSD,BID,1.17361
2026-01-01 20:46:35.020,EURUSD,BID,1.17365
2026-01-01 20:47:25.096,EURUSD,BID,1.17361
2026-01-01 20:47:35.106,EURUSD,BID,1.17369
2026-01-01 20:47:44.121,EURUSD,BID,1.17365
2026-01-01 20:47:54.133,EURUSD,BID,1.17361
2026-01-01 20:48:04.146,EURUSD,BID,1.17365
2026-01-01 20:49:04.244,EURUSD,BID,1.17361
2026-01-01 20:49:14.253,EURUSD,BID,1.17365
2026-01-01 20:49:24.283,EURUSD,BID,1.1737
2026-01-01 20:49:34.298,EURUSD,BID,1.17365
2026-01-01 20:49:54.326,EURUSD,BID,1.1737
2026-01-01 20:50:04.343,EURUSD,BID,1.17365
2026-01-01 20:51:34.455,EURUSD,BID,1.1737
2026-01-01 20:51:44.474,EURUSD,BID,1.17361
2026-01-01 20:51:54.491,EURUSD,BID,1.17365
2026-01-01 20:52:16.529,EURUSD,BID,1.17366
2026-01-01 20:52:17.531,EURUSD,BID,1.17366
2026-01-01 20:52:18.534,EURUSD,BID,1.17365
2026-01-01 20:52:21.536,EURUSD,BID,1.17366
2026-01-01 20:52:22.538,EURUSD,BID,1.17366
2026-01-01 20:52:23.535,EURUSD,BID,1.17365
2026-01-01 20:52:54.584,EURUSD,BID,1.1737
2026-01-01 20:53:04.596,EURUSD,BID,1.17365
2026-01-01 20:53:44.658,EURUSD,BID,1.1737
2026-01-01 20:53:54.671,EURUSD,BID,1.17365
2026-01-01 20:54:04.683,EURUSD,BID,1.1737
2026-01-01 20:54:14.696,EURUSD,BID,1.17361
2026-01-01 20:54:24.714,EURUSD,BID,1.17365
2026-01-01 20:55:04.777,EURUSD,BID,1.1737
2026-01-01 20:55:14.785,EURUSD,BID,1.17365
2026-01-01 20:55:44.844,EURUSD,BID,1.17361
2026-01-01 20:55:54.854,EURUSD,BID,1.1737
2026-01-01 20:55:59.860,EURUSD,BID,1.1737
2026-01-01 20:56:01.860,EURUSD,BID,1.1737
2026-01-01 20:56:04.868,EURUSD,BID,1.17366
2026-01-01 20:56:06.871,EURUSD,BID,1.17365
2026-01-01 20:58:22.079,EURUSD,BID,1.17369
2026-01-01 20:58:24.077,EURUSD,BID,1.1737
2026-01-01 20:58:25.080,EURUSD,BID,1.17366
2026-01-01 20:58:35.093,EURUSD,BID,1.1737
2026-01-01 20:58:38.094,EURUSD,BID,1.17371
2026-01-01 20:58:40.098,EURUSD,BID,1.17373
2026-01-01 20:58:44.106,EURUSD,BID,1.17374
